card_ID;check_in;loc1;check_out;loc2;Routes
card_2264;2024-08-26 22:15:47.292606;N_2;2024-08-26 23:05:47.292606;N_1;\16002
card_3183;2024-09-08 13:15:47.294937;N_1;2024-09-08 13:47:47.294937;N_3;\16002
card_5015;2024-08-30 14:15:47.297121;N_5;2024-08-30 15:05:47.297121;N_2;\16002
card_7183;2024-08-18 12:15:47.299295;N_2;2024-08-18 13:14:47.299295;N_4;\16002
card_9256;2024-08-27 02:15:47.301611;N_2;2024-08-27 02:41:47.301611;N_5;\16002
card_4289;2024-09-14 05:15:47.303808;N_2;2024-09-14 05:36:47.303808;N_3;\16002
card_1936;2024-09-16 00:15:47.306130;N_3;2024-09-16 01:01:47.306130;N_1;\16002
card_4312;2024-09-04 07:15:47.308390;N_5;2024-09-04 07:55:47.308390;N_2;\16002
card_3109;2024-09-10 12:15:47.310611;N_3;2024-09-10 12:54:47.310611;N_5;\16002
card_8748;2024-09-02 09:15:47.312912;N_3;2024-09-02 09:26:47.312912;N_1;\16002
card_4535;2024-09-09 06:15:47.315097;N_5;2024-09-09 06:56:47.315097;N_4;\16002
card_9519;2024-08-22 03:15:47.317363;N_3;2024-08-22 03:41:47.317363;N_2;\16002
card_3508;2024-08-20 12:15:47.319496;N_2;2024-08-20 12:35:47.319496;N_4;\16002
card_8214;2024-08-18 19:15:47.321770;N_3;2024-08-18 19:31:47.321770;N_4;\16002
card_8630;2024-08-25 21:15:47.324051;N_4;2024-08-25 22:00:47.324051;N_5;\16002
card_4978;2024-09-10 04:15:47.326418;N_4;2024-09-10 04:39:47.326418;N_1;\16002
card_2632;2024-08-31 21:15:47.328651;N_3;2024-08-31 21:34:47.328651;N_5;\16002
card_5669;2024-08-29 15:15:47.330892;N_4;2024-08-29 15:34:47.330892;N_3;\16002
card_3525;2024-09-15 01:15:47.333359;N_4;2024-09-15 01:51:47.333359;N_3;\16002
card_7963;2024-08-27 13:15:47.335588;N_3;2024-08-27 14:15:47.335588;N_1;\16002
card_4317;2024-09-03 17:15:47.337919;N_4;2024-09-03 17:51:47.337919;N_2;\16002
card_7327;2024-09-11 00:15:47.340230;N_4;2024-09-11 01:10:47.340230;N_5;\16002
card_6204;2024-09-05 18:15:47.342421;N_2;2024-09-05 18:41:47.342421;N_1;\16002
card_9345;2024-08-25 05:15:47.344738;N_4;2024-08-25 05:51:47.344738;N_3;\16002
card_4558;2024-08-22 16:15:47.347045;N_3;2024-08-22 16:49:47.347045;N_2;\16002
card_5112;2024-08-23 06:15:47.349443;N_2;2024-08-23 06:31:47.349443;N_1;\16002
card_7260;2024-09-11 04:15:47.351684;N_4;2024-09-11 04:37:47.351684;N_5;\16002
card_1962;2024-08-20 23:15:47.354067;N_3;2024-08-21 00:06:47.354067;N_1;\16002
card_4750;2024-08-18 04:15:47.356324;N_2;2024-08-18 04:54:47.356324;N_3;\16002
card_1712;2024-09-04 16:15:47.358614;N_2;2024-09-04 17:14:47.358614;N_4;\16002
card_9580;2024-09-03 22:15:47.360849;N_5;2024-09-03 22:54:47.360849;N_4;\16002
card_4531;2024-08-29 08:15:47.363029;N_3;2024-08-29 08:58:47.363029;N_5;\16002
card_7754;2024-08-23 03:15:47.365313;N_2;2024-08-23 04:12:47.365313;N_4;\16002
card_9185;2024-08-21 09:15:47.367513;N_1;2024-08-21 09:27:47.367513;N_2;\16002
card_9827;2024-08-22 10:15:47.369932;N_4;2024-08-22 11:07:47.369932;N_5;\16002
card_8382;2024-08-31 12:15:47.372274;N_5;2024-08-31 12:29:47.372274;N_2;\16002
card_4524;2024-09-11 03:15:47.374592;N_4;2024-09-11 03:46:47.374592;N_5;\16002
card_6518;2024-08-23 01:15:47.377274;N_4;2024-08-23 01:27:47.377274;N_3;\16002
card_6982;2024-08-23 16:15:47.380159;N_1;2024-08-23 16:41:47.380159;N_4;\16002
card_6771;2024-09-11 02:15:47.382562;N_2;2024-09-11 02:38:47.382562;N_5;\16002
card_1879;2024-08-27 14:15:47.385074;N_4;2024-08-27 14:38:47.385074;N_1;\16002
card_3518;2024-08-19 16:15:47.387448;N_4;2024-08-19 16:30:47.387448;N_1;\16002
card_9031;2024-08-18 09:15:47.389861;N_2;2024-08-18 10:13:47.389861;N_5;\16002
card_3889;2024-08-26 10:15:47.392472;N_3;2024-08-26 10:33:47.392472;N_1;\16002
card_6101;2024-08-21 21:15:47.394952;N_1;2024-08-21 22:13:47.394952;N_3;\16002
card_5703;2024-08-23 23:15:47.397667;N_5;2024-08-24 00:08:47.397667;N_1;\16002
card_8455;2024-08-28 21:15:47.400085;N_1;2024-08-28 21:30:47.400085;N_3;\16002
card_4911;2024-08-23 17:15:47.402652;N_3;2024-08-23 18:09:47.402652;N_4;\16002
card_3647;2024-08-21 10:15:47.405207;N_3;2024-08-21 10:49:47.405207;N_5;\16002
card_9927;2024-08-21 03:15:47.407615;N_1;2024-08-21 03:31:47.407615;N_2;\16002
card_4597;2024-08-21 13:15:47.410055;N_4;2024-08-21 13:37:47.410055;N_5;\16002
card_5629;2024-08-29 12:15:47.412728;N_4;2024-08-29 12:42:47.412728;N_2;\16002
card_9309;2024-09-11 04:15:47.415159;N_5;2024-09-11 04:42:47.415159;N_2;\16002
card_8685;2024-08-18 08:15:47.417504;N_2;2024-08-18 08:51:47.417504;N_5;\16002
card_7991;2024-08-27 12:15:47.419819;N_3;2024-08-27 12:43:47.419819;N_4;\16002
card_5324;2024-08-26 11:15:47.422106;N_4;2024-08-26 11:42:47.422106;N_1;\16002
card_6734;2024-08-23 18:15:47.424661;N_1;2024-08-23 18:39:47.424661;N_4;\16002
card_8410;2024-09-09 21:15:47.427083;N_1;2024-09-09 22:06:47.427083;N_4;\16002
card_8411;2024-08-28 22:15:47.429463;N_3;2024-08-28 22:45:47.429463;N_5;\16002
card_1653;2024-08-19 06:15:47.431711;N_5;2024-08-19 06:55:47.431711;N_3;\16002
card_6961;2024-08-19 08:15:47.434299;N_2;2024-08-19 08:44:47.434299;N_3;\16002
card_8869;2024-08-28 12:15:47.436734;N_3;2024-08-28 13:01:47.436734;N_5;\16002
card_3211;2024-08-30 12:15:47.439138;N_1;2024-08-30 12:44:47.439138;N_5;\16002
card_3089;2024-08-26 07:15:47.441385;N_5;2024-08-26 07:37:47.441385;N_4;\16002
card_5420;2024-09-04 20:15:47.443612;N_2;2024-09-04 20:43:47.443612;N_4;\16002
card_1359;2024-09-10 15:15:47.446344;N_1;2024-09-10 15:51:47.446344;N_2;\16002
card_3009;2024-08-25 00:15:47.449185;N_5;2024-08-25 01:11:47.449185;N_4;\16002
card_1324;2024-09-12 11:15:47.452003;N_4;2024-09-12 12:12:47.452003;N_2;\16002
card_3669;2024-08-20 04:15:47.454489;N_5;2024-08-20 05:04:47.454489;N_4;\16002
card_1593;2024-09-10 02:15:47.456953;N_2;2024-09-10 02:58:47.456953;N_4;\16002
card_9873;2024-09-07 21:15:47.459216;N_1;2024-09-07 21:26:47.459216;N_2;\16002
card_1254;2024-08-31 21:15:47.461531;N_4;2024-08-31 21:55:47.461531;N_1;\16002
card_6002;2024-08-23 13:15:47.463788;N_5;2024-08-23 13:28:47.463788;N_3;\16002
card_1721;2024-08-22 16:15:47.466185;N_2;2024-08-22 16:29:47.466185;N_1;\16002
card_7816;2024-09-04 15:15:47.468430;N_5;2024-09-04 15:46:47.468430;N_1;\16002
card_9089;2024-09-16 20:15:47.470787;N_3;2024-09-16 21:12:47.470787;N_1;\16002
card_9130;2024-09-05 00:15:47.472989;N_1;2024-09-05 00:59:47.472989;N_2;\16002
card_4379;2024-09-14 07:15:47.475498;N_3;2024-09-14 08:01:47.475498;N_4;\16002
card_1522;2024-08-26 09:15:47.477939;N_2;2024-08-26 09:59:47.477939;N_4;\16002
card_6820;2024-08-25 12:15:47.480221;N_3;2024-08-25 12:34:47.480221;N_5;\16002
card_5581;2024-08-22 05:15:47.482681;N_4;2024-08-22 05:55:47.482681;N_5;\16002
card_4932;2024-09-11 21:15:47.484967;N_2;2024-09-11 21:54:47.484967;N_4;\16002
card_5453;2024-09-04 10:15:47.487383;N_3;2024-09-04 11:02:47.487383;N_5;\16002
card_7323;2024-08-31 10:15:47.489703;N_4;2024-08-31 11:01:47.489703;N_3;\16002
card_6792;2024-08-22 14:15:47.492114;N_5;2024-08-22 15:04:47.492114;N_4;\16002
card_1265;2024-09-10 11:15:47.494520;N_2;2024-09-10 11:35:47.494520;N_3;\16002
card_3321;2024-08-27 05:15:47.496866;N_2;2024-08-27 06:14:47.496866;N_4;\16002
card_6580;2024-09-12 18:15:47.499273;N_3;2024-09-12 18:42:47.499273;N_4;\16002
card_2230;2024-09-03 23:15:47.501501;N_3;2024-09-04 00:02:47.501501;N_1;\16002
card_9790;2024-09-09 13:15:47.503841;N_4;2024-09-09 13:56:47.503841;N_2;\16002
card_7503;2024-09-17 05:15:47.506135;N_5;2024-09-17 05:41:47.506135;N_1;\16002
card_7231;2024-09-05 23:15:47.508437;N_5;2024-09-05 23:49:47.508437;N_1;\16002
card_3166;2024-09-06 14:15:47.510626;N_4;2024-09-06 14:36:47.510626;N_2;\16002
card_2395;2024-09-09 13:15:47.512805;N_2;2024-09-09 14:15:47.512805;N_1;\16002
card_3282;2024-08-26 15:15:47.515116;N_1;2024-08-26 15:46:47.515116;N_3;\16002
card_4868;2024-08-21 05:15:47.517319;N_3;2024-08-21 06:15:47.517319;N_1;\16002
card_7924;2024-09-09 12:15:47.519673;N_2;2024-09-09 12:45:47.519673;N_5;\16002
card_4327;2024-09-16 23:15:47.521882;N_4;2024-09-16 23:33:47.521882;N_1;\16002
card_4779;2024-08-22 13:15:47.524333;N_4;2024-08-22 13:56:47.524333;N_3;\16002
card_5871;2024-09-06 08:15:47.526558;N_2;2024-09-06 09:01:47.526558;N_5;\16002
card_2735;2024-08-30 19:15:47.528737;N_3;2024-08-30 20:04:47.528737;N_5;\16002
card_1197;2024-09-05 01:15:47.531117;N_5;2024-09-05 01:53:47.531117;N_1;\16002
card_1587;2024-09-03 12:15:47.533294;N_3;2024-09-03 12:37:47.533294;N_2;\16002
card_8709;2024-09-05 04:15:47.535614;N_5;2024-09-05 05:15:47.535614;N_2;\16002
card_7866;2024-08-23 15:15:47.538162;N_5;2024-08-23 15:54:47.538162;N_2;\16002
card_5024;2024-09-16 03:15:47.540726;N_3;2024-09-16 03:36:47.540726;N_4;\16002
card_2418;2024-09-14 04:15:47.542897;N_2;2024-09-14 04:56:47.542897;N_1;\16002
card_1231;2024-08-19 12:15:47.545071;N_4;2024-08-19 12:58:47.545071;N_5;\16002
card_6479;2024-09-16 15:15:47.547576;N_4;2024-09-16 15:39:47.547576;N_1;\16002
card_5765;2024-08-28 09:15:47.549766;N_4;2024-08-28 09:46:47.549766;N_1;\16002
card_7149;2024-09-03 14:15:47.552084;N_3;2024-09-03 15:05:47.552084;N_1;\16002
card_4657;2024-09-02 00:15:47.554255;N_5;2024-09-02 00:38:47.554255;N_1;\16002
card_3403;2024-08-27 01:15:47.556547;N_2;2024-08-27 01:45:47.556547;N_5;\16002
card_4238;2024-08-20 20:15:47.558718;N_1;2024-08-20 20:43:47.558718;N_5;\16002
card_1889;2024-09-14 06:15:47.560899;N_3;2024-09-14 07:13:47.560899;N_1;\16002
card_6589;2024-08-20 03:15:47.563231;N_3;2024-08-20 03:50:47.563231;N_4;\16002
card_9519;2024-08-24 01:15:47.565414;N_3;2024-08-24 02:03:47.565414;N_4;\16002
card_2031;2024-08-25 01:15:47.567721;N_2;2024-08-25 01:34:47.567721;N_3;\16002
card_3804;2024-08-21 04:15:47.569929;N_5;2024-08-21 04:52:47.569929;N_1;\16002
card_6201;2024-08-20 12:15:47.572371;N_1;2024-08-20 12:35:47.572371;N_3;\16002
card_5571;2024-08-17 15:15:47.574571;N_2;2024-08-17 15:45:47.574571;N_5;\16002
card_9682;2024-09-13 18:15:47.576774;N_3;2024-09-13 18:47:47.576774;N_5;\16002
card_1743;2024-09-11 01:15:47.579082;N_2;2024-09-11 02:13:47.579082;N_3;\16002
card_1079;2024-08-22 12:15:47.581269;N_5;2024-08-22 13:15:47.581269;N_1;\16002
card_7498;2024-09-07 12:15:47.583580;N_4;2024-09-07 12:43:47.583580;N_2;\16002
card_2490;2024-08-28 19:15:47.585911;N_2;2024-08-28 19:46:47.585911;N_4;\16002
card_8089;2024-09-13 15:15:47.588286;N_5;2024-09-13 16:15:47.588286;N_1;\16002
card_1619;2024-08-24 07:15:47.590530;N_4;2024-08-24 07:34:47.590530;N_2;\16002
card_2939;2024-08-17 22:15:47.592736;N_1;2024-08-17 23:03:47.592736;N_5;\16002
card_7158;2024-08-18 14:15:47.595137;N_2;2024-08-18 14:40:47.595137;N_5;\16002
card_7120;2024-08-26 00:15:47.597308;N_1;2024-08-26 00:57:47.597308;N_4;\16002
card_3523;2024-08-27 12:15:47.599647;N_4;2024-08-27 13:04:47.599647;N_3;\16002
card_3142;2024-08-19 17:15:47.601879;N_1;2024-08-19 17:50:47.601879;N_2;\16002
card_7427;2024-08-20 16:15:47.604232;N_2;2024-08-20 16:44:47.604232;N_4;\16002
card_2770;2024-09-03 08:15:47.606422;N_5;2024-09-03 08:34:47.606422;N_4;\16002
card_5264;2024-09-17 12:15:47.608651;N_1;2024-09-17 12:52:47.608651;N_5;\16002
card_3509;2024-09-10 20:15:47.610988;N_2;2024-09-10 20:27:47.610988;N_3;\16002
card_1436;2024-09-07 20:15:47.613176;N_2;2024-09-07 20:31:47.613176;N_5;\16002
card_4448;2024-09-02 00:15:47.615557;N_1;2024-09-02 00:49:47.615557;N_4;\16002
card_6340;2024-08-20 16:15:47.617794;N_3;2024-08-20 16:45:47.617794;N_4;\16002
card_1206;2024-08-31 20:15:47.620229;N_4;2024-08-31 20:49:47.620229;N_3;\16002
card_4554;2024-08-22 04:15:47.622460;N_1;2024-08-22 04:59:47.622460;N_2;\16002
card_2112;2024-08-21 15:15:47.624639;N_3;2024-08-21 16:03:47.624639;N_2;\16002
card_3389;2024-09-11 01:15:47.626938;N_3;2024-09-11 02:05:47.626938;N_2;\16002
card_6054;2024-09-11 23:15:47.629153;N_3;2024-09-11 23:43:47.629153;N_5;\16002
card_1206;2024-08-21 18:15:47.631477;N_2;2024-08-21 19:09:47.631477;N_1;\16002
card_1949;2024-09-02 11:15:47.633730;N_1;2024-09-02 12:02:47.633730;N_5;\16002
card_8844;2024-09-09 12:15:47.636090;N_3;2024-09-09 13:02:47.636090;N_5;\16002
card_1495;2024-08-19 10:15:47.638346;N_4;2024-08-19 11:10:47.638346;N_5;\16002
card_6344;2024-08-28 13:15:47.640579;N_5;2024-08-28 13:54:47.640579;N_2;\16002
card_4477;2024-09-07 14:15:47.643043;N_4;2024-09-07 14:48:47.643043;N_3;\16002
card_2246;2024-09-15 04:15:47.645236;N_4;2024-09-15 05:10:47.645236;N_3;\16002
card_5234;2024-08-18 13:15:47.647648;N_3;2024-08-18 14:11:47.647648;N_4;\16002
card_2952;2024-08-17 14:15:47.649864;N_4;2024-08-17 14:46:47.649864;N_2;\16002
card_3325;2024-09-17 07:15:47.652312;N_5;2024-09-17 07:59:47.652312;N_4;\16002
card_4229;2024-08-31 00:15:47.654514;N_2;2024-08-31 01:15:47.654514;N_5;\16002
card_4340;2024-08-25 13:15:47.656699;N_3;2024-08-25 14:13:47.656699;N_1;\16002
card_8019;2024-09-07 18:15:47.659030;N_4;2024-09-07 19:02:47.659030;N_1;\16002
card_1310;2024-08-30 01:15:47.661241;N_3;2024-08-30 01:37:47.661241;N_4;\16002
card_5703;2024-08-26 02:15:47.663561;N_2;2024-08-26 02:25:47.663561;N_5;\16002
card_6421;2024-09-07 09:15:47.665778;N_5;2024-09-07 10:13:47.665778;N_1;\16002
card_6180;2024-08-21 17:15:47.668179;N_4;2024-08-21 18:11:47.668179;N_1;\16002
card_3389;2024-08-24 22:15:47.670419;N_3;2024-08-24 23:02:47.670419;N_5;\16002
card_1250;2024-08-17 17:15:47.672612;N_1;2024-08-17 18:15:47.672612;N_5;\16002
card_7442;2024-09-02 17:15:47.674934;N_3;2024-09-02 17:51:47.674934;N_5;\16002
card_1217;2024-09-02 02:15:47.677137;N_1;2024-09-02 03:12:47.677137;N_2;\16002
card_3423;2024-08-30 02:15:47.679503;N_5;2024-08-30 02:49:47.679503;N_2;\16002
card_3288;2024-09-05 09:15:47.681711;N_2;2024-09-05 09:35:47.681711;N_5;\16002
card_5124;2024-09-16 08:15:47.684016;N_1;2024-09-16 08:45:47.684016;N_3;\16002
card_1446;2024-08-30 03:15:47.686300;N_4;2024-08-30 04:03:47.686300;N_5;\16002
card_5044;2024-09-14 14:15:47.688514;N_4;2024-09-14 14:59:47.688514;N_1;\16002
card_7754;2024-08-19 21:15:47.691046;N_4;2024-08-19 21:55:47.691046;N_5;\16002
card_5071;2024-08-24 07:15:47.693231;N_4;2024-08-24 08:03:47.693231;N_3;\16002
card_8218;2024-08-28 11:15:47.695534;N_2;2024-08-28 11:43:47.695534;N_5;\16002
card_6671;2024-09-09 21:15:47.697731;N_2;2024-09-09 22:08:47.697731;N_1;\16002
card_8055;2024-08-30 10:15:47.700077;N_5;2024-08-30 11:05:47.700077;N_1;\16002
card_9935;2024-08-25 04:15:47.702264;N_3;2024-08-25 04:33:47.702264;N_1;\16002
card_1675;2024-08-19 18:15:47.704442;N_2;2024-08-19 18:42:47.704442;N_1;\16002
card_3921;2024-09-06 09:15:47.706762;N_1;2024-09-06 09:42:47.706762;N_4;\16002
card_9475;2024-08-18 09:15:47.708957;N_2;2024-08-18 09:54:47.708957;N_5;\16002
card_8413;2024-08-28 12:15:47.711269;N_5;2024-08-28 12:35:47.711269;N_3;\16002
card_6992;2024-08-21 14:15:47.713449;N_5;2024-08-21 14:32:47.713449;N_2;\16002
card_5877;2024-08-18 04:15:47.715804;N_5;2024-08-18 04:54:47.715804;N_3;\16002
card_5346;2024-09-03 23:15:47.718047;N_4;2024-09-03 23:43:47.718047;N_5;\16002
card_5524;2024-08-19 01:15:47.720244;N_5;2024-08-19 01:52:47.720244;N_1;\16002
card_9062;2024-08-30 01:15:47.722600;N_2;2024-08-30 01:41:47.722600;N_4;\16002
card_3754;2024-08-30 10:15:47.724821;N_1;2024-08-30 10:27:47.724821;N_2;\16002
card_2327;2024-08-29 15:15:47.727170;N_3;2024-08-29 15:47:47.727170;N_2;\16002
card_4006;2024-09-02 15:15:47.729342;N_2;2024-09-02 16:12:47.729342;N_5;\16002
card_9081;2024-08-27 13:15:47.731526;N_1;2024-08-27 14:08:47.731526;N_2;\16002
card_1830;2024-09-14 03:15:47.733886;N_5;2024-09-14 03:25:47.733886;N_4;\16002
card_4229;2024-08-17 14:15:47.736126;N_3;2024-08-17 14:46:47.736126;N_1;\16002
card_9429;2024-09-10 02:15:47.738469;N_4;2024-09-10 03:07:47.738469;N_5;\16002
card_6903;2024-08-18 22:15:47.740764;N_2;2024-08-18 23:10:47.740764;N_1;\16002
card_5881;2024-08-25 08:15:47.743162;N_4;2024-08-25 09:05:47.743162;N_1;\16002
card_4914;2024-09-12 20:15:47.745326;N_3;2024-09-12 21:06:47.745326;N_5;\16002
card_2535;2024-09-10 06:15:47.747487;N_4;2024-09-10 06:39:47.747487;N_3;\16002
card_2526;2024-08-22 10:15:47.749814;N_5;2024-08-22 10:45:47.749814;N_4;\16002
card_8760;2024-09-10 04:15:47.752000;N_3;2024-09-10 05:02:47.752000;N_2;\16002
card_3242;2024-08-25 06:15:47.754497;N_4;2024-08-25 06:29:47.754497;N_2;\16002
card_6104;2024-09-05 12:15:47.756681;N_4;2024-09-05 12:40:47.756681;N_2;\16002
card_8953;2024-09-02 18:15:47.758981;N_2;2024-09-02 18:44:47.758981;N_4;\16002
card_9943;2024-09-07 07:15:47.761150;N_4;2024-09-07 08:15:47.761150;N_2;\16002
card_5565;2024-08-25 00:15:47.763453;N_5;2024-08-25 00:28:47.763453;N_1;\16002
card_1092;2024-09-03 02:15:47.765820;N_4;2024-09-03 02:39:47.765820;N_2;\16002
card_9199;2024-09-08 15:15:47.768014;N_1;2024-09-08 15:50:47.768014;N_4;\16002
card_7105;2024-08-30 20:15:47.770346;N_1;2024-08-30 20:58:47.770346;N_3;\16002
card_6617;2024-09-17 03:15:47.772559;N_1;2024-09-17 04:02:47.772559;N_4;\16002
card_6464;2024-08-23 05:15:47.774858;N_1;2024-08-23 05:41:47.774858;N_5;\16002
card_7213;2024-08-24 01:15:47.777024;N_2;2024-08-24 02:04:47.777024;N_1;\16002
card_1933;2024-09-05 21:15:47.779217;N_4;2024-09-05 22:14:47.779217;N_2;\16002
card_1267;2024-08-31 04:15:47.781488;N_4;2024-08-31 04:27:47.781488;N_5;\16002
card_8363;2024-08-31 17:15:47.783744;N_2;2024-08-31 17:34:47.783744;N_3;\16002
card_3754;2024-09-08 11:15:47.786038;N_4;2024-09-08 12:04:47.786038;N_1;\16002
card_6707;2024-08-28 04:15:47.788317;N_5;2024-08-28 05:07:47.788317;N_4;\16002
card_4949;2024-09-05 01:15:47.790496;N_3;2024-09-05 01:53:47.790496;N_2;\16002
card_2026;2024-09-14 04:15:47.792813;N_2;2024-09-14 04:34:47.792813;N_5;\16002
card_6476;2024-09-14 15:15:47.795103;N_4;2024-09-14 15:56:47.795103;N_5;\16002
card_7819;2024-08-18 21:15:47.797447;N_5;2024-08-18 21:43:47.797447;N_2;\16002
card_4273;2024-09-16 14:15:47.799631;N_2;2024-09-16 14:44:47.799631;N_1;\16002
card_4755;2024-09-12 05:15:47.801945;N_4;2024-09-12 05:30:47.801945;N_3;\16002
card_2897;2024-09-05 11:15:47.804152;N_1;2024-09-05 12:00:47.804152;N_3;\16002
card_4540;2024-08-24 20:15:47.806345;N_3;2024-08-24 20:27:47.806345;N_5;\16002
card_6604;2024-08-19 02:15:47.808687;N_4;2024-08-19 02:38:47.808687;N_5;\16002
card_1711;2024-09-07 08:15:47.811046;N_1;2024-09-07 08:30:47.811046;N_3;\16002
card_5070;2024-09-15 05:15:47.813446;N_1;2024-09-15 06:14:47.813446;N_2;\16002
card_4611;2024-09-14 03:15:47.815655;N_5;2024-09-14 04:13:47.815655;N_4;\16002
card_5893;2024-09-13 10:15:47.818075;N_3;2024-09-13 11:07:47.818075;N_1;\16002
card_6569;2024-09-03 13:15:47.820269;N_4;2024-09-03 13:43:47.820269;N_3;\16002
card_3382;2024-09-15 10:15:47.822456;N_3;2024-09-15 10:33:47.822456;N_4;\16002
card_1610;2024-09-02 21:15:47.824804;N_3;2024-09-02 22:11:47.824804;N_4;\16002
card_1257;2024-08-28 06:15:47.826986;N_1;2024-08-28 06:55:47.826986;N_5;\16002
card_3667;2024-09-12 17:15:47.829286;N_2;2024-09-12 17:50:47.829286;N_4;\16002
card_5968;2024-09-09 03:15:47.831479;N_4;2024-09-09 03:30:47.831479;N_5;\16002
card_8582;2024-09-08 06:15:47.833833;N_3;2024-09-08 06:30:47.833833;N_4;\16002
card_9416;2024-08-30 13:15:47.836146;N_5;2024-08-30 13:46:47.836146;N_4;\16002
card_6066;2024-08-29 13:15:47.838376;N_3;2024-08-29 14:03:47.838376;N_2;\16002
card_5357;2024-09-03 08:15:47.840798;N_5;2024-09-03 08:56:47.840798;N_1;\16002
card_2733;2024-08-31 12:15:47.843000;N_5;2024-08-31 12:32:47.843000;N_3;\16002
card_1438;2024-09-06 07:15:47.845317;N_1;2024-09-06 08:02:47.845317;N_2;\16002
card_5652;2024-09-06 23:15:47.847482;N_1;2024-09-06 23:31:47.847482;N_2;\16002
card_7078;2024-08-31 01:15:47.849753;N_3;2024-08-31 01:44:47.849753;N_5;\16002
card_7075;2024-09-11 14:15:47.851956;N_4;2024-09-11 14:42:47.851956;N_1;\16002
